control_id,tsc_category,control_description,tool_or_process,automation_level,status,evidence_source,owner,gap_notes
CC1.1,Control Environment,Entity demonstrates commitment to integrity and ethical values,Code of conduct and PR review requirement in CODEOWNERS,manual,implemented,GitHub CODEOWNERS and signed commit history,eng-leadership,None
CC1.2,Control Environment,Board/management independence and oversight of security program,Quarterly security review meeting with documented minutes,manual,partial,Meeting minutes (external doc store),CTO,No fixed cadence enforced yet; add recurring calendar hold and minutes template
CC1.3,Control Environment,"Management establishes structures, reporting lines, and authority",Org chart and on-call/escalation policy in docs/runbooks,manual,implemented,docs/runbooks/escalation.md,eng-leadership,None
CC1.4,Control Environment,"Commitment to competence (hiring, training)",Security training tracked in HR system; annual AppSec refresher,manual,gap,None collected in this repo,people-ops,Not automatable from this pipeline; needs HRIS integration for evidence collector
CC1.5,Control Environment,Accountability for internal control responsibilities,Ownership encoded in CODEOWNERS per directory,tool,implemented,.github/CODEOWNERS,eng-leadership,None
CC2.1,Communication and Information,Relevant quality information supports internal control,Compliance evidence package generated monthly,automated,implemented,compliance/evidence-collector/collect_evidence.py output,platform-security,None
CC2.2,Communication and Information,Internal communication of security objectives and responsibilities,This repo's README and runbooks published to internal wiki,manual,implemented,README.md,platform-security,None
CC2.3,Communication and Information,External communication of security commitments to customers and auditors,Trust/security page and SOC2 report distribution process,manual,gap,None,legal-sales,Requires a public trust page and NDA-gated report sharing workflow; not started
CC3.1,Risk Assessment,Entity specifies objectives to enable risk identification,Threat model doc per service (STRIDE-based),manual,partial,docs/architecture.md (threat model section),platform-security,Only sample-app has a documented threat model; extend per-service as new services onboard
CC3.2,Risk Assessment,Identifies and analyzes risk to objectives,Annual risk register review and CVE trend review from triage reports,manual,partial,security/triage/*-report.json history,platform-security,Risk register exists but is not yet cross-referenced with triage trend data automatically
CC3.3,Risk Assessment,Considers potential for fraud,Least-privilege IAM and segregation of duties via CODEOWNERS,tool,implemented,iam/generator output and CODEOWNERS,platform-security,None
CC3.4,Risk Assessment,Identifies and assesses changes that could impact controls,Policy-as-code regression tests run on every PR touching policy/opa,automated,implemented,.github/workflows/pipeline.yml (policy-gate job),platform-security,None
CC4.1,Monitoring Activities,Ongoing and separate evaluations to ascertain controls are functioning,Monthly automated evidence collection plus manual spot-check,automated,implemented,.github/workflows/compliance-evidence.yml,platform-security,None
CC4.2,Monitoring Activities,Evaluates and communicates deficiencies timely,Triage report and policy-gate failures posted as PR comments,automated,implemented,pipeline.yml (triage-summary-comment job),platform-security,None
CC5.1,Control Activities,Selects and develops control activities that mitigate risk,"OPA policies for root containers, IMDSv2, and open security groups",tool,implemented,policy/opa/**/*.rego,platform-security,None
CC5.2,Control Activities,Selects and develops general controls over technology,Pre-commit hooks mirror CI checks locally,tool,implemented,.pre-commit-config.yaml,platform-security,None
CC5.3,Control Activities,Deploys control activities through policies and procedures,Runbooks for key rotation and incident response,manual,implemented,security/secrets/rotate-key-runbook.md,platform-security,None
CC6.1,Logical and Physical Access,Restricts logical access via least privilege,"IAM policy generator (no wildcard actions, scoped ARNs)",tool,implemented,iam/generator/generate_policy.py,platform-security,None
CC6.2,Logical and Physical Access,"Prior to issuing credentials, registers and authorizes new internal and external users",Access request form (role-request.schema.json) reviewed via PR,manual+tool,partial,iam/generator/templates/role-request.schema.json,platform-security,Request intake is a YAML file plus PR today; no ticketing-system integration yet
CC6.3,Logical and Physical Access,Access removed or modified in a timely manner,Offboarding checklist and quarterly IAM access review,manual,partial,docs/runbooks (offboarding),people-ops,Quarterly review is manual; no automated stale-credential detector yet (remediation R-6)
CC6.4,Logical and Physical Access,Restricts physical access to facilities and assets,Cloud-only infrastructure; physical access delegated to AWS SOC2/ISO reports,inherited,implemented,AWS compliance reports (third-party),platform-security,Inherited control - verify AWS report is refreshed annually in evidence package
CC6.6,Logical and Physical Access,"Implements boundary protection (network segmentation, no open ingress)",OPA no_open_sg policy and VPC network policies,tool,implemented,policy/opa/network/no_open_sg.rego,platform-security,None
CC6.7,Logical and Physical Access,Restricts transmission and movement of data to authorized channels,mTLS between services (see docs/architecture.md),tool,partial,docs/architecture.md (mTLS section),platform-security,mTLS documented and enforced for sample-app mesh traffic; not yet extended to all legacy services
CC6.8,Logical and Physical Access,Prevents and detects unauthorized or malicious software,Trivy container scanning and SBOM generation on every build,automated,implemented,.github/workflows/pipeline.yml (sca-sbom-container-scan job),platform-security,None
CC6.9,Logical and Physical Access,Enforces MFA for privileged access,IAM trust policy Condition Bool aws:MultiFactorAuthPresent for human roles,tool,implemented,iam/generator/generate_policy.py (build_trust_policy),platform-security,None
CC7.1,System Operations,Detects and monitors for security events (vulnerability scanning),"Trivy, Semgrep, and gitleaks run on every PR and push to main",automated,implemented,.github/workflows/pipeline.yml,platform-security,None
CC7.2,System Operations,Monitors for anomalies indicating security incidents,Centralized logging/alerting (CloudWatch/SIEM),tool,gap,None,platform-security,No SIEM/anomaly detection deployed yet; scanning is point-in-time (CI) not continuous runtime monitoring - top remediation priority (R-1)
CC7.3,System Operations,Evaluates security incidents to determine response,Incident response runbook (rotate-key-runbook.md section 4),manual,implemented,security/secrets/rotate-key-runbook.md,platform-security,None
CC7.4,System Operations,Responds to identified incidents per policy,Automated key rotation script (rotate_key.sh),automated,implemented,security/secrets/rotate_key.sh,platform-security,None
CC7.5,System Operations,Recovers from identified security incidents,Disaster recovery and rollback runbook,manual,gap,None,platform-security,No documented or tested DR runbook for this service yet (remediation R-2)
CC8.1,Change Management,"Authorizes, designs, develops, tests, and approves changes","Branch protection requires policy-gate, SAST, and SCA pass before merge",tool,implemented,.github branch protection rules and pipeline.yml,platform-security,None
CC9.1,Risk Mitigation,Identifies and manages risk from business disruptions,Business continuity plan referencing infra redundancy,manual,gap,None,eng-leadership,Not yet documented for this workload (remediation R-3)
CC9.2,Risk Mitigation,Manages risk associated with vendors and business partners,"Vendor risk assessment for third-party scanners (Semgrep, Snyk, etc SaaS tiers)",manual,partial,docs/runbooks (vendor review notes),legal-procurement,Ad hoc today; no formal vendor questionnaire process (remediation R-4)
A1.1,Availability,Maintains and monitors capacity to meet objectives,Autoscaling policy and capacity alerts,tool,gap,None,platform-eng,Not implemented for sample-app; production services have partial coverage outside this repo's scope
A1.2,Availability,"Environmental protections, backups, and recovery infrastructure",Automated backups for stateful services,tool,partial,infra/ backup module (out of repo scope for sample-app),platform-eng,Sample app is stateless; document backup story once a stateful service is onboarded
A1.3,Availability,Recovery plans are tested,DR and failover game day exercises,manual,gap,None,platform-eng,"Not scheduled yet (remediation R-2, shared with CC7.5)"
C1.1,Confidentiality,Identifies and maintains confidential information,Data classification policy,manual,partial,docs/runbooks (data classification),legal,Policy drafted but not yet mapped per-field in data model
C1.2,Confidentiality,Disposes of confidential information per policy,Data retention and deletion runbook,manual,gap,None,legal-platform-security,No automated deletion job yet (remediation R-5)
PI1.1,Processing Integrity,"System processing is complete, accurate, timely, and authorized",SAST and policy-as-code gate blocks unauthorized or incorrect changes at merge,automated,implemented,.github/workflows/pipeline.yml,platform-security,None
PI1.2,Processing Integrity,Detects and corrects processing errors,SBOM and triage report provide a verifiable record of what shipped,automated,implemented,compliance/evidence-collector output,platform-security,None
